Record Date,Security Type Description,Security Class Description,Securities Sold Count
2018-01-31,Savings Bond,I,53139
2018-01-31,Marketable,Bill,12368
2018-01-31,Marketable,Bond,175
2018-01-31,Marketable,Note,5089
2017-12-31,Savings Bond,EE,46045
2017-12-31,Savings Bond,I,62167
2017-12-31,Marketable,Bill,9459
2017-12-31,Marketable,Bond,206
2017-12-31,Marketable,Note,1205
2017-11-30,Savings Bond,EE,24148
2017-11-30,Savings Bond,I,46305
2017-11-30,Marketable,Bill,10651
2017-11-30,Marketable,Bond,255
2017-11-30,Marketable,Note,2804
2017-10-31,Savings Bond,EE,21930
2017-10-31,Savings Bond,I,38117
2017-10-31,Marketable,Bill,8274
2017-10-31,Marketable,Bond,234
2017-10-31,Marketable,Note,3659
2017-09-30,Savings Bond,EE,21151
2017-09-30,Savings Bond,I,36662
2017-09-30,Marketable,Bill,7884
2017-09-30,Marketable,Bond,196
2017-09-30,Marketable,Note,960
2017-08-31,Savings Bond,EE,21688
2017-08-31,Savings Bond,I,37204
2017-08-31,Marketable,Bill,10011
2017-08-31,Marketable,Bond,263
2017-08-31,Marketable,Note,2695
2017-07-31,Savings Bond,EE,21498
2017-07-31,Savings Bond,I,36687
2017-07-31,Marketable,Bill,8195
2017-07-31,Marketable,Bond,158
2017-07-31,Marketable,Note,2542
2017-06-30,Savings Bond,EE,22549
2017-06-30,Savings Bond,I,39721
2017-06-30,Marketable,Bill,9567
2017-06-30,Marketable,Bond,313
2017-06-30,Marketable,Note,2170
2017-05-31,Savings Bond,EE,23042
2017-05-31,Savings Bond,I,41779
2017-05-31,Marketable,Bill,7835
2017-05-31,Marketable,Bond,329
2017-05-31,Marketable,Note,4243
2017-04-30,Savings Bond,EE,21090
2017-04-30,Savings Bond,I,39244
2017-04-30,Marketable,Bill,7876
2017-04-30,Marketable,Bond,219
2017-04-30,Marketable,Note,1378
2017-03-31,Savings Bond,EE,23787
2017-03-31,Savings Bond,I,42589
2017-03-31,Marketable,Bill,9237
2017-03-31,Marketable,Bond,284
2017-03-31,Marketable,Note,2972
2017-02-28,Savings Bond,EE,21338
2017-02-28,Savings Bond,I,38590
2017-02-28,Marketable,Bill,6544
2017-02-28,Marketable,Bond,515
2017-02-28,Marketable,Note,2713
2017-01-31,Savings Bond,EE,26709
2017-01-31,Marketable,Bond,211
2017-01-31,Marketable,Note,4474
2017-01-31,Savings Bond,I,49149
